31.12.2012,"49,13","48,34","49,19","48,29","6,56M","1,70%"
28.12.2012,"48,31","48,50","48,87","48,28","4,69M","-0,98%"
27.12.2012,"48,79","48,60","49,29","48,11","6,25M","0,35%"
26.12.2012,"48,62","49,45","49,59","48,50","5,75M","-1,78%"
24.12.2012,"49,50","49,29","49,62","49,25","2,69M","0,28%"
21.12.2012,"49,36","49,30","49,69","48,83","8,32M","-0,98%"
20.12.2012,"49,85","49,22","49,86","48,95","9,40M","1,86%"
19.12.2012,"48,94","49,48","49,49","48,89","5,63M","-0,71%"
18.12.2012,"49,29","49,00","49,50","48,78","6,64M","0,74%"
17.12.2012,"48,93","48,34","48,99","48,11","7,18M","1,45%"
14.12.2012,"48,23","48,12","48,48","48,03","5,35M","-0,43%"
13.12.2012,"48,44","48,59","48,76","48,25","5,68M","0,21%"
12.12.2012,"48,34","48,20","48,74","48,02","9,51M","0,39%"
11.12.2012,"48,15","48,00","48,50","47,91","8,58M","0,40%"
10.12.2012,"47,96","48,04","48,05","47,55","5,77M","0,74%"
07.12.2012,"47,61","48,16","48,28","47,60","6,39M","-1,00%"
06.12.2012,"48,09","47,58","48,09","47,39","5,98M","0,61%"
05.12.2012,"47,80","48,30","48,40","47,44","6,64M","-1,12%"
04.12.2012,"48,34","48,76","48,80","48,06","6,43M","-0,66%"
03.12.2012,"48,66","49,10","49,45","48,56","8,50M","-0,43%"
30.11.2012,"48,87","48,58","48,99","48,38","9,83M","0,51%"
29.11.2012,"48,62","48,42","49,08","48,32","9,08M","0,98%"
28.11.2012,"48,15","47,57","48,16","47,48","6,58M","0,63%"
27.11.2012,"47,85","48,01","48,37","47,79","4,88M","-0,31%"
26.11.2012,"48,00","48,02","48,28","47,83","4,98M","-0,25%"
23.11.2012,"48,12","48,09","48,20","47,80","2,39M","0,38%"
21.11.2012,"47,94","47,84","48,07","47,76","2,93M","0,38%"
20.11.2012,"47,76","47,91","48,26","47,22","6,80M","-0,23%"
19.11.2012,"47,87","46,94","47,87","46,84","6,81M","3,03%"
16.11.2012,"46,46","45,85","47,05","45,60","9,03M","1,62%"
15.11.2012,"45,72","46,29","46,29","45,36","7,07M","-1,32%"
14.11.2012,"46,33","47,27","47,40","46,23","6,08M","-1,68%"
13.11.2012,"47,12","46,71","47,69","46,47","4,96M","0,26%"
12.11.2012,"47,00","46,57","47,10","46,31","7,03M","1,14%"
09.11.2012,"46,47","45,85","46,87","45,85","6,42M","0,63%"
08.11.2012,"46,18","46,43","46,82","46,18","6,20M","-0,62%"
07.11.2012,"46,47","47,00","47,12","46,15","7,65M","-1,50%"
06.11.2012,"47,18","46,86","47,29","46,72","4,12M","1,33%"
05.11.2012,"46,56","46,73","47,10","46,47","6,17M","-0,83%"
02.11.2012,"46,95","47,15","47,70","46,87","9,51M","0,17%"
01.11.2012,"46,87","46,34","47,50","46,21","9,36M","1,69%"
31.10.2012,"46,09","45,25","46,50","45,12","11,93M","1,74%"
26.10.2012,"45,30","44,94","45,77","44,82","6,85M","0,80%"
25.10.2012,"44,94","45,65","45,86","44,74","8,94M","-1,12%"
24.10.2012,"45,45","46,48","46,50","45,30","7,08M","-1,17%"
23.10.2012,"45,99","46,26","46,48","45,80","7,29M","-1,50%"
22.10.2012,"46,69","47,30","47,30","46,20","7,76M","-0,68%"
19.10.2012,"47,01","47,46","47,68","46,79","10,07M","-1,20%"
18.10.2012,"47,58","48,25","48,56","47,44","8,79M","-1,49%"
17.10.2012,"48,30","48,60","48,61","47,92","7,25M","0,84%"
16.10.2012,"47,90","47,93","48,15","47,61","4,56M","0,67%"
15.10.2012,"47,58","47,23","47,69","47,17","8,99M","0,51%"
12.10.2012,"47,34","47,27","47,60","46,95","8,25M","0,17%"
11.10.2012,"47,26","46,72","47,58","46,50","12,63M","2,27%"
10.10.2012,"46,21","46,50","46,52","46,05","5,06M","-0,60%"
09.10.2012,"46,49","47,23","47,30","46,13","8,10M","-1,48%"
08.10.2012,"47,19","47,42","47,55","46,98","5,54M","-0,72%"
05.10.2012,"47,53","47,80","48,30","47,29","9,00M","0,08%"
04.10.2012,"47,49","47,27","47,50","47,14","6,34M","0,23%"
03.10.2012,"47,38","45,90","47,47","45,77","11,98M","3,52%"
02.10.2012,"45,77","45,70","45,88","45,40","3,35M","0,18%"
01.10.2012,"45,69","45,32","46,01","45,25","6,96M","1,20%"
28.09.2012,"45,15","45,11","45,25","44,86","5,55M","-0,15%"
27.09.2012,"45,22","44,76","45,22","44,70","4,34M","1,44%"
26.09.2012,"44,58","45,13","45,20","44,58","4,99M","-1,26%"
25.09.2012,"45,15","45,76","45,77","45,13","5,51M","-0,83%"
24.09.2012,"45,53","45,75","45,75","45,31","7,61M","-0,91%"
21.09.2012,"45,95","45,93","46,18","45,68","12,85M","1,17%"
20.09.2012,"45,42","44,75","45,93","44,73","11,34M","0,51%"
19.09.2012,"45,19","45,29","45,54","45,17","5,01M","-0,24%"
18.09.2012,"45,30","45,30","45,50","45,07","4,77M","-0,11%"
17.09.2012,"45,35","45,43","45,63","45,25","5,16M","-0,15%"
